parameter,value,case
kint(R1),-2.11580525,case1
kdeg(R1),-3.411425793,case1
krec4(R1),-3.203925462,case1
k4to11(R1),-5.354450016,case1
krec11(R1),-4.668754963,case1
kint(R2),-3.485146888,case1
kdeg(R2),-3.611703374,case1
krec4(R2),-4.507896437,case1
k4to11(R2),-4.603068725,case1
krec11(R2),-1.000008686,case1
kint(N1),-3.730206956,case1
kdeg(N1),-5.530929448,case1
krec4(N1),-1.016445876,case1
k4to11(N1),-2.395482355,case1
krec11(N1),-4.437885649,case1
kprod(R1),0.720514866,case1
kprod(R2),0.115510662,case1
kprod(N1),-0.349197256,case1
kint(R1),-2.227509597,case2
kdeg(R1),-3.648261654,case2
krec4(R1),-3.855145693,case2
k4to11(R1),-3.532865659,case2
krec11(R1),-1,case2
kint(R2),-3.642961333,case2
kdeg(R2),-3.631638724,case2
krec4(R2),-5.996841166,case2
k4to11(R2),-5.997963598,case2
krec11(R2),-1.466355021,case2
kint(N1),-3.82156986,case2
kdeg(N1),-5.416495173,case2
krec4(N1),-1.523458191,case2
k4to11(N1),-1.000065149,case2
krec11(N1),-3.287729209,case2
kprod(R1),0.561578368,case2
kprod(R2),0.04351946,case2
kprod(N1),-0.668998095,case2
kint(R1),-2.171211252,case3
kdeg(R1),-3.645565002,case3
krec4(R1),-3.728692881,case3
k4to11(R1),-3.476656808,case3
krec11(R1),-1.00790178,case3
kint(R2),-3.640942772,case3
kdeg(R2),-3.632494991,case3
krec4(R2),-6,case3
k4to11(R2),-6,case3
krec11(R2),-1.196406335,case3
kint(N1),-3.69899172,case3
kdeg(N1),-5.583675761,case3
krec4(N1),-1.437267115,case3
k4to11(N1),-1.000638883,case3
krec11(N1),-3.28413866,case3
kprod(R1),0.780691667,case3
kprod(R2),0.302027726,case3
kprod(N1),0.572848377,case3
kint(R1),-2.044321869,case4
kdeg(R1),-3.642656043,case4
krec4(R1),-3.690859755,case4
k4to11(R1),-3.245636372,case4
krec11(R1),-1.010221026,case4
kint(R2),-3.642350967,case4
kdeg(R2),-3.630135042,case4
krec4(R2),-5.997056793,case4
k4to11(R2),-5.889713392,case4
krec11(R2),-1.415917661,case4
kint(N1),-3.635261445,case4
kdeg(N1),-5.212589121,case4
krec4(N1),-1.690646677,case4
k4to11(N1),-1.000008686,case4
krec11(N1),-3.083919969,case4
kprod(R1),0.568518526,case4
kprod(R2),0.04359803,case4
kprod(N1),-0.499393078,case4
kint(R1),-2.108189452,case5
kdeg(R1),-3.643419671,case5
krec4(R1),-3.724136049,case5
k4to11(R1),-3.350139632,case5
krec11(R1),-1,case5
kint(R2),-3.640828794,case5
kdeg(R2),-3.628470368,case5
krec4(R2),-5.881768352,case5
k4to11(R2),-5.739499302,case5
krec11(R2),-1.922159897,case5
kint(N1),-3.65635512,case5
kdeg(N1),-5.528943106,case5
krec4(N1),-1.645315446,case5
k4to11(N1),-1.001178536,case5
krec11(N1),-3.131355562,case5
kprod(R1),0.567872944,case5
kprod(R2),0.04359803,case5
kprod(N1),-0.551510108,case5
kint(R1),-2.082468234,case6
kdeg(R1),-3.64380199,case6
krec4(R1),-3.604481406,case6
k4to11(R1),-3.350139632,case6
krec11(R1),-1,case6
kint(R2),-3.642980421,case6
kdeg(R2),-3.630505838,case6
krec4(R2),-5.964530237,case6
k4to11(R2),-5.968551138,case6
krec11(R2),-1.003479572,case6
kint(N1),-3.507239611,case6
kdeg(N1),-5.99753155,case6
krec4(N1),-1.375470396,case6
k4to11(N1),-1.003772989,case6
krec11(N1),-3.085953174,case6
kprod(R1),0.564168767,case6
kprod(R2),0.043244354,case6
kprod(N1),-0.529604211,case6
kint(R1),-2.081890994,case7
kdeg(R1),-3.643400564,case7
krec4(R1),-3.626536278,case7
k4to11(R1),-3.335442636,case7
krec11(R1),-1.000034745,case7
kint(R2),-3.642980421,case7
kdeg(R2),-3.631397041,case7
