Parameters,R1total,R1surf,R1int,R1percSurf,R2total,R2surf,R2int,R2percSurf,N1total,N1surf,N1int,N1percSurf
kN1Rab11a,0,0,0,0,0,0,0,0,-0.041154,-0.00026045,-0.15531,0.040978
kN1Rab4ato11a,0,0,0,0,0,0,0,0,0.13846,0.16876,0.053851,0.0301
kN1Rab4a,0,0,0,0,0,0,0,0,0.096137,0.16874,-0.10654,0.072257
kN1Rab4ato7a,0,0,0,0,0,0,0,0,-0.27449,-0.33065,-0.11772,-0.056941
kN1Rab5a,0,0,0,0,0,0,0,0,-0.18677,-0.33074,0.2151,-0.14532
kN1prod,0,0,0,0,0,0,0,0,106.51,128.58,44.897,3.4893
kR2Rab11a,0,0,0,0,-0.029163,0,-0.057244,0.029206,0,0,0,0
kR2Rab4ato11a,0,0,0,0,0.13184,0.20634,0.060106,0.074015,0,0,0,0
kR2Rab4a,0,0,0,0,0.34716,0.7077,0,0.35439,0,0,0,0
kR2Rab4ato7a,0,0,0,0,-0.91222,-0.87052,-0.95238,0.043698,0,0,0,0
kR2Rab5a,0,0,0,0,-0.46718,-0.95238,0,-0.4968,0,0,0,0
kR2prod,0,0,0,0,1,1,1,0,0,0,0,0
kR1Rab11a,-0.035532,0,-0.039667,0.035595,0,0,0,0,-0.0069205,0,-0.026238,0.0069224
kR1Rab4ato11a,0.082978,0.43805,0.041651,0.3536,0,0,0,0,-0.022459,-0.034617,0.011479,-0.012171
kR1Rab4a,0.053282,0.51105,0,0.45655,0,0,0,0,-0.034409,-0.04006,-0.018635,-0.0056605
kR1Rab4ato7a,-0.94733,-0.9039,-0.95238,0.045583,0,0,0,0,-0.099716,0.077584,-0.59465,0.17819
kR1Rab5a,-0.099295,-0.95238,0,-0.85734,0,0,0,0,0.070125,0.081912,0.037222,0.011746
kR1prod,1,1,1,0,0,0,0,0,-12.842,-15.528,-5.3431,-7.506
