Time,TotalRecExp,TotalRecComp,sd,RecType
0,100,100,0,VEGFR1
0.083333,,102.66,,VEGFR1
0.16667,,105.23,,VEGFR1
0.25,,107.7,,VEGFR1
0.33333,,110.08,,VEGFR1
0.41667,,112.37,,VEGFR1
0.5,,114.57,,VEGFR1
0.58333,,116.7,,VEGFR1
0.66667,,118.74,,VEGFR1
0.75,,120.71,,VEGFR1
0.83333,,122.61,,VEGFR1
0.91667,,124.44,,VEGFR1
1,130,126.2,45.9,VEGFR1
1.0833,,127.89,,VEGFR1
1.1667,,129.52,,VEGFR1
1.25,,131.09,,VEGFR1
1.3333,,132.61,,VEGFR1
1.4167,,134.06,,VEGFR1
1.5,,135.47,,VEGFR1
1.5833,,136.82,,VEGFR1
1.6667,,138.12,,VEGFR1
1.75,,139.38,,VEGFR1
1.8333,,140.58,,VEGFR1
1.9167,,141.75,,VEGFR1
2,124.7,142.86,7.3,VEGFR1
2.0833,,143.94,,VEGFR1
2.1667,,144.98,,VEGFR1
2.25,,145.98,,VEGFR1
2.3333,,146.94,,VEGFR1
2.4167,,147.87,,VEGFR1
2.5,,148.77,,VEGFR1
2.5833,,149.63,,VEGFR1
2.6667,,150.45,,VEGFR1
2.75,,151.25,,VEGFR1
2.8333,,152.02,,VEGFR1
2.9167,,152.76,,VEGFR1
3,,153.47,,VEGFR1
3.0833,,154.16,,VEGFR1
3.1667,,154.82,,VEGFR1
3.25,,155.45,,VEGFR1
3.3333,,156.07,,VEGFR1
3.4167,,156.66,,VEGFR1
3.5,,157.23,,VEGFR1
3.5833,,157.77,,VEGFR1
3.6667,,158.3,,VEGFR1
3.75,,158.81,,VEGFR1
3.8333,,159.3,,VEGFR1
3.9167,,159.77,,VEGFR1
4,128.8,160.22,28.4,VEGFR1
4.0833,,160.66,,VEGFR1
4.1667,,161.08,,VEGFR1
4.25,,161.48,,VEGFR1
4.3333,,161.87,,VEGFR1
4.4167,,162.25,,VEGFR1
4.5,,162.61,,VEGFR1
4.5833,,162.96,,VEGFR1
4.6667,,163.29,,VEGFR1
4.75,,163.62,,VEGFR1
4.8333,,163.93,,VEGFR1
4.9167,,164.23,,VEGFR1
5,,164.52,,VEGFR1
5.0833,,164.79,,VEGFR1
5.1667,,165.06,,VEGFR1
5.25,,165.32,,VEGFR1
5.3333,,165.57,,VEGFR1
5.4167,,165.81,,VEGFR1
5.5,,166.04,,VEGFR1
5.5833,,166.26,,VEGFR1
5.6667,,166.47,,VEGFR1
5.75,,166.68,,VEGFR1
5.8333,,166.87,,VEGFR1
5.9167,,167.06,,VEGFR1
6,,167.25,,VEGFR1
6.0833,,167.42,,VEGFR1
6.1667,,167.6,,VEGFR1
6.25,,167.76,,VEGFR1
6.3333,,167.92,,VEGFR1
6.4167,,168.07,,VEGFR1
6.5,,168.22,,VEGFR1
6.5833,,168.36,,VEGFR1
6.6667,,168.49,,VEGFR1
6.75,,168.62,,VEGFR1
6.8333,,168.75,,VEGFR1
6.9167,,168.87,,VEGFR1
7,,168.99,,VEGFR1
7.0833,,169.1,,VEGFR1
7.1667,,169.21,,VEGFR1
7.25,,169.31,,VEGFR1
7.3333,,169.41,,VEGFR1
7.4167,,169.51,,VEGFR1
7.5,,169.6,,VEGFR1
7.5833,,169.69,,VEGFR1
7.6667,,169.78,,VEGFR1
7.75,,169.86,,VEGFR1
7.8333,,169.94,,VEGFR1
7.9167,,170.02,,VEGFR1
8,142.8,170.09,21.9,VEGFR1
8.0833,,170.17,,VEGFR1
8.1667,,170.23,,VEGFR1
8.25,,170.3,,VEGFR1
8.3333,,170.36,,VEGFR1
8.4167,,170.43,,VEGFR1
8.5,,170.49,,VEGFR1
8.5833,,170.54,,VEGFR1
8.6667,,170.6,,VEGFR1
8.75,,170.65,,VEGFR1
8.8333,,170.7,,VEGFR1
8.9167,,170.75,,VEGFR1
9,,170.8,,VEGFR1
9.0833,,170.84,,VEGFR1
9.1667,,170.89,,VEGFR1
9.25,,170.93,,VEGFR1
9.3333,,170.97,,VEGFR1
9.4167,,171.01,,VEGFR1
9.5,,171.05,,VEGFR1
9.5833,,171.08,,VEGFR1
9.6667,,171.12,,VEGFR1
9.75,,171.15,,VEGFR1
9.8333,,171.18,,VEGFR1
9.9167,,171.22,,VEGFR1
10,,171.25,,VEGFR1
10.083,,171.27,,VEGFR1
10.167,,171.3,,VEGFR1
10.25,,171.33,,VEGFR1
10.333,,171.36,,VEGFR1
10.417,,171.38,,VEGFR1
10.5,,171.4,,VEGFR1
10.583,,171.43,,VEGFR1
10.667,,171.45,,VEGFR1
10.75,,171.47,,VEGFR1
10.833,,171.49,,VEGFR1
10.917,,171.51,,VEGFR1
11,,171.53,,VEGFR1
11.083,,171.55,,VEGFR1
11.167,,171.57,,VEGFR1
11.25,,171.58,,VEGFR1
11.333,,171.6,,VEGFR1
11.417,,171.62,,VEGFR1
11.5,,171.63,,VEGFR1
11.583,,171.65,,VEGFR1
11.667,,171.66,,VEGFR1
11.75,,171.67,,VEGFR1
11.833,,171.69,,VEGFR1
11.917,,171.7,,VEGFR1
12,171.2,171.71,14.4,VEGFR1
12.083,,171.72,,VEGFR1
12.167,,171.74,,VEGFR1
12.25,,171.75,,VEGFR1
12.333,,171.76,,VEGFR1
12.417,,171.77,,VEGFR1
12.5,,171.78,,VEGFR1
12.583,,171.79,,VEGFR1
12.667,,171.79,,VEGFR1
12.75,,171.8,,VEGFR1
12.833,,171.81,,VEGFR1
12.917,,171.82,,VEGFR1
13,,171.83,,VEGFR1
13.083,,171.83,,VEGFR1
13.167,,171.84,,VEGFR1
13.25,,171.85,,VEGFR1
13.333,,171.86,,VEGFR1
13.417,,171.86,,VEGFR1
13.5,,171.87,,VEGFR1
13.583,,171.87,,VEGFR1
13.667,,171.88,,VEGFR1
13.75,,171.89,,VEGFR1
13.833,,171.89,,VEGFR1
13.917,,171.9,,VEGFR1
14,,171.9,,VEGFR1
14.083,,171.91,,VEGFR1
14.167,,171.91,,VEGFR1
14.25,,171.91,,VEGFR1
14.333,,171.92,,VEGFR1
14.417,,171.92,,VEGFR1
14.5,,171.93,,VEGFR1
14.583,,171.93,,VEGFR1
14.667,,171.93,,VEGFR1
14.75,,171.94,,VEGFR1
14.833,,171.94,,VEGFR1
14.917,,171.94,,VEGFR1
15,,171.95,,VEGFR1
15.083,,171.95,,VEGFR1
15.167,,171.95,,VEGFR1
15.25,,171.96,,VEGFR1
15.333,,171.96,,VEGFR1
15.417,,171.96,,VEGFR1
15.5,,171.96,,VEGFR1
15.583,,171.97,,VEGFR1
15.667,,171.97,,VEGFR1
15.75,,171.97,,VEGFR1
15.833,,171.97,,VEGFR1
15.917,,171.98,,VEGFR1
16,,171.98,,VEGFR1
16.083,,171.98,,VEGFR1
16.167,,171.98,,VEGFR1
16.25,,171.98,,VEGFR1
16.333,,171.98,,VEGFR1
16.417,,171.99,,VEGFR1
16.5,,171.99,,VEGFR1
16.583,,171.99,,VEGFR1
16.667,,171.99,,VEGFR1
16.75,,171.99,,VEGFR1
16.833,,171.99,,VEGFR1
16.917,,172,,VEGFR1
17,,172,,VEGFR1
17.083,,172,,VEGFR1
17.167,,172,,VEGFR1
17.25,,172,,VEGFR1
17.333,,172,,VEGFR1
17.417,,172,,VEGFR1
17.5,,172,,VEGFR1
17.583,,172,,VEGFR1
17.667,,172,,VEGFR1
