kcRR,RT 1k,RT 2k,RT 5k,RT 10k,RT 20k,RT 50k,RT 100k
0.0008,0.8943,0.924,0.9512,0.9653,0.9753,0.9843,0.9889
0.000504766,0.8688,0.9053,0.939,0.9565,0.969,0.9803,0.986
0.000318486,0.8378,0.8823,0.9238,0.9455,0.9612,0.9753,0.9824
0.000200951,0.8004,0.8542,0.9051,0.9319,0.9513,0.9689,0.9779
0.000126791,0.7558,0.8202,0.882,0.915,0.9391,0.9611,0.9723
0.00008,0.7035,0.7793,0.8539,0.8943,0.924,0.9512,0.9653
5.04766E-05,0.6431,0.7309,0.8198,0.8688,0.9053,0.939,0.9565
3.18486E-05,0.5751,0.6746,0.7788,0.8378,0.8823,0.9238,0.9455
2.00951E-05,0.5008,0.6103,0.7304,0.8004,0.8542,0.9051,0.9319
1.26791E-05,0.4226,0.539,0.6739,0.7558,0.8202,0.882,0.915
8E-06,0.3441,0.4624,0.6096,0.7035,0.7793,0.8539,0.8943
5.04766E-06,0.2694,0.3836,0.5382,0.6431,0.7309,0.8198,0.8688
3.18486E-06,0.2025,0.3064,0.4616,0.5751,0.6746,0.7788,0.8378
2.00951E-06,0.1464,0.2351,0.3828,0.5008,0.6103,0.7304,0.8004
1.26791E-06,0.1022,0.1733,0.3056,0.4226,0.539,0.6739,0.7558
8E-07,0.0693,0.123,0.2344,0.3441,0.4624,0.6096,0.7035
5.04766E-07,0.0459,0.0846,0.1727,0.2694,0.3836,0.5382,0.6431
3.18486E-07,0.03,0.0567,0.1226,0.2025,0.3064,0.4616,0.5751
2.00951E-07,0.0193,0.0373,0.0843,0.1464,0.2351,0.3828,0.5008
1.26791E-07,0.0124,0.0241,0.0564,0.1022,0.1733,0.3056,0.4226
8E-08,0.0079,0.0155,0.0371,0.0693,0.123,0.2344,0.3441
