RT,Kd 1k,Kd 2k,Kd 5k,Kd 10k,Kd 20k,Kd 50k,Kd 100k
1,0.38197,0.26795,0.1459,0.08392,0.04555,0.01924,0.0098
1.333521432,0.43129,0.31388,0.17954,0.10647,0.05904,0.02534,0.01299
1.77827941,0.4803,0.36196,0.21767,0.13351,0.07592,0.03324,0.01718
2.371373706,0.52809,0.41114,0.25983,0.16524,0.09674,0.0434,0.02265
3.16227766,0.57397,0.46039,0.30526,0.20158,0.12191,0.05632,0.02977
4.216965034,0.61737,0.50878,0.35302,0.24218,0.15172,0.07255,0.03895
5.623413252,0.65795,0.55551,0.40208,0.28638,0.18621,0.0926,0.05068
7.498942093,0.69546,0.59998,0.45139,0.33331,0.22513,0.11695,0.06549
10,0.72984,0.64174,0.5,0.38197,0.26795,0.1459,0.08392
13.33521432,0.7611,0.68052,0.54709,0.43129,0.31388,0.17954,0.10647
17.7827941,0.78932,0.71619,0.59201,0.4803,0.36196,0.21767,0.13351
23.71373706,0.81465,0.74871,0.6343,0.52809,0.41114,0.25983,0.16524
31.6227766,0.83728,0.77816,0.67364,0.57397,0.46039,0.30526,0.20158
42.16965034,0.85741,0.80465,0.70988,0.61737,0.50878,0.35302,0.24218
56.23413252,0.87524,0.82836,0.74298,0.65795,0.55551,0.40208,0.28638
74.98942093,0.891,0.84948,0.77298,0.69546,0.59998,0.45139,0.33331
100,0.90488,0.86823,0.8,0.72984,0.64174,0.5,0.38197
