Parameters,R1total,R1surf,R1int,R1percSurf,R2total,R2surf,R2int,R2percSurf,N1total,N1surf,N1int,N1percSurf
kN1Rab11a,0,0,0,0,0,0,0,0,-0.051759,-0.00092195,-0.45937,0.050969
kN1Rab4ato11a,0,0,0,0,0,0,0,0,0.49566,0.49771,0.47918,0.0020059
kN1Rab4a,0,0,0,0,0,0,0,0,0.44138,0.49681,-0.0030424,0.054232
kN1Rab4ato7a,0,0,0,0,0,0,0,0,-0.9507,-0.95068,-0.95082,0
kN1Rab5a,0,0,0,0,0,0,0,0,-0.84538,-0.95099,0.0014572,-0.11028
kN1prod,0,0,0,0,0,0,0,0,0.99997,0.99997,0.99997,0
kR2Rab11a,0,0,0,0,-0.029163,0,-0.057244,0.029206,0,0,0,0
kR2Rab4ato11a,0,0,0,0,0.13184,0.20634,0.060106,0.074015,0,0,0,0
kR2Rab4a,0,0,0,0,0.34716,0.7077,0,0.35439,0,0,0,0
kR2Rab4ato7a,0,0,0,0,-0.91222,-0.87052,-0.95238,0.043698,0,0,0,0
kR2Rab5a,0,0,0,0,-0.46718,-0.95238,0,-0.4968,0,0,0,0
kR2prod,0,0,0,0,1,1,1,0,0,0,0,0
kR1Rab11a,-0.035532,0,-0.039667,0.035595,0,0,0,0,0,0,0,0
kR1Rab4ato11a,0.082978,0.43805,0.041651,0.3536,0,0,0,0,0,0,0,0
kR1Rab4a,0.053282,0.51105,0,0.45655,0,0,0,0,0,0,0,0
kR1Rab4ato7a,-0.94733,-0.9039,-0.95238,0.045583,0,0,0,0,0,0,0,0
kR1Rab5a,-0.099295,-0.95238,0,-0.85734,0,0,0,0,0,0,0,0
kR1prod,1,1,1,0,0,0,0,0,0,0,0,0
