kN1R1,Whole Cell,Surface,Rab4,Rab11
8.00E-06,0.0066262,0.029887,0.004272,0.0093389
1.27E-05,0.010353,0.046615,0.0066813,0.014794
2.01E-05,0.016047,0.072061,0.010373,0.023419
3.18E-05,0.024578,0.10991,0.015927,0.037011
5.05E-05,0.036991,0.16438,0.024061,0.058272
8.00E-05,0.054316,0.23908,0.035527,0.091017
0.00012679,0.077343,0.33539,0.05103,0.14061
0.00020095,0.10529,0.4479,0.070233,0.20943
0.00031849,0.13728,0.56777,0.093044,0.30069
0.00050477,0.17125,0.68132,0.11857,0.40923
0.0008,0.20596,0.77744,0.14663,0.52507
0.0012679,0.24189,0.8512,0.17831,0.63667
0.0020095,0.28133,0.90361,0.2161,0.73506
0.0031849,0.32751,0.93889,0.26317,0.81558
0.0050477,0.38328,0.9618,0.32221,0.87729
0.008,0.44974,0.97635,0.39402,0.92186
0.012679,0.52531,0.98546,0.47653,0.9523
0.020095,0.60517,0.99109,0.56421,0.97195
0.031849,0.68396,0.99455,0.65096,0.98408
0.050477,0.75757,0.99667,0.73216,0.9913
0.08,0.81984,0.99795,0.8009,0.99533
