kN1R1,Whole Cell,Surface,Rab4,Rab11
8.00E-06,0.0011782,0.00066168,0.21528,4.01E-05
1.27E-05,0.0018372,0.0010344,0.29718,6.27E-05
2.01E-05,0.0028394,0.0016046,0.39108,9.73E-05
3.18E-05,0.0043303,0.0024603,0.48855,0.00014975
5.05E-05,0.0064784,0.003708,0.57989,0.00022732
8.00E-05,0.0094379,0.0054519,0.65781,0.00033919
0.00012679,0.013541,0.0079082,0.72253,0.00050488
0.00020095,0.017942,0.010552,0.7657,0.00070626
0.00031849,0.02318,0.013655,0.79992,0.00097812
0.00050477,0.028711,0.01674,0.82589,0.0013113
0.0008,0.03436,0.019484,0.84712,0.001697
0.0012679,0.040204,0.021689,0.86625,0.0021177
0.0020095,0.046583,0.023317,0.88486,0.0025509
0.0031849,0.054008,0.024446,0.90329,0.0029737
0.0050477,0.062999,0.025194,0.92092,0.0033693
0.008,0.073898,0.025678,0.93677,0.0037301
0.012679,0.086776,0.026014,0.95014,0.004061
0.020095,0.10085,0.026169,0.96066,0.0043561
0.031849,0.11567,0.026287,0.96872,0.0046341
0.050477,0.13231,0.026817,0.97504,0.0049667
0.08,0.14706,0.027103,0.9795,0.0052529
