kR1N1,values
-5.096910013,0.01307
-4.896914998,0.020348
-4.696911989,0.031527
-4.496904199,0.048397
-4.296906464,0.073218
-4.096910013,0.10844
-3.896914998,0.15926
-3.696911989,0.21665
-3.496904199,0.28865
-3.296906464,0.3697
-3.096910013,0.45869
-2.896914998,0.55866
-2.696911989,0.67743
-2.496904199,0.82628
-2.296906464,1.0168
-2.096910013,1.2569
-1.896914998,1.5485
-1.696911989,1.8746
-1.496904199,2.2245
-1.296906464,2.6224
-1.096910013,2.9826
-0.896914998,3.3378
-0.696911989,3.6344
-0.496904199,3.8595
-0.296906464,3.9962
-0.096910013,4.1371
