kR1N1,wcvalues,rabvalues,ratiovalues
-5.096910013,86.506,86.876,1.0043
-4.896914998,86.796,87.415,1.0071
-4.696911989,87.237,88.223,1.0113
-4.496904199,87.891,89.397,1.0171
-4.296906464,88.83,91.021,1.0247
-4.096910013,90.108,93.104,1.0332
-3.896914998,91.839,95.648,1.0415
-3.696911989,93.578,97.642,1.0434
-3.496904199,95.44,98.768,1.0349
-3.296906464,97.036,97.837,1.0083
-3.096910013,98.161,94.035,0.95797
-2.896914998,98.779,87.192,0.8827
-2.696911989,99.007,77.978,0.7876
-2.496904199,99.034,67.748,0.68409
-2.296906464,99.041,58.102,0.58664
-2.096910013,99.147,50.347,0.5078
-1.896914998,99.422,45.165,0.45427
-1.696911989,99.802,42.704,0.42788
-1.496904199,100.31,42.712,0.42581
-1.296906464,101.12,44.852,0.44353
-1.096910013,101.82,49.279,0.48398
-0.896914998,102.63,55.8,0.54369
-0.696911989,103.27,64.021,0.61995
-0.496904199,103.73,72.884,0.70262
-0.296906464,103.93,81.065,0.78002
-0.096910013,104.26,87.739,0.84154
