Time,TotalRecExp,TotalRecComp,sd,RecType
0,100,100,0,VEGFR1
0.083333,,102.56,,VEGFR1
0.16667,,105.03,,VEGFR1
0.25,,107.4,,VEGFR1
0.33333,,109.7,,VEGFR1
0.41667,,111.91,,VEGFR1
0.5,,114.04,,VEGFR1
0.58333,,116.1,,VEGFR1
0.66667,,118.08,,VEGFR1
0.75,,119.99,,VEGFR1
0.83333,,121.83,,VEGFR1
0.91667,,123.6,,VEGFR1
1,130,125.32,45.9,VEGFR1
1.0833,,126.97,,VEGFR1
1.1667,,128.56,,VEGFR1
1.25,,130.09,,VEGFR1
1.3333,,131.57,,VEGFR1
1.4167,,133,,VEGFR1
1.5,,134.37,,VEGFR1
1.5833,,135.7,,VEGFR1
1.6667,,136.97,,VEGFR1
1.75,,138.21,,VEGFR1
1.8333,,139.39,,VEGFR1
1.9167,,140.54,,VEGFR1
2,124.7,141.64,7.3,VEGFR1
2.0833,,142.71,,VEGFR1
2.1667,,143.73,,VEGFR1
2.25,,144.72,,VEGFR1
2.3333,,145.68,,VEGFR1
2.4167,,146.6,,VEGFR1
2.5,,147.48,,VEGFR1
2.5833,,148.34,,VEGFR1
2.6667,,149.16,,VEGFR1
2.75,,149.96,,VEGFR1
2.8333,,150.72,,VEGFR1
2.9167,,151.46,,VEGFR1
3,,152.17,,VEGFR1
3.0833,,152.86,,VEGFR1
3.1667,,153.52,,VEGFR1
3.25,,154.16,,VEGFR1
3.3333,,154.78,,VEGFR1
3.4167,,155.37,,VEGFR1
3.5,,155.94,,VEGFR1
3.5833,,156.49,,VEGFR1
3.6667,,157.02,,VEGFR1
3.75,,157.54,,VEGFR1
3.8333,,158.03,,VEGFR1
3.9167,,158.51,,VEGFR1
4,128.8,158.97,28.4,VEGFR1
4.0833,,159.41,,VEGFR1
4.1667,,159.83,,VEGFR1
4.25,,160.25,,VEGFR1
4.3333,,160.64,,VEGFR1
4.4167,,161.03,,VEGFR1
4.5,,161.39,,VEGFR1
4.5833,,161.75,,VEGFR1
4.6667,,162.09,,VEGFR1
4.75,,162.42,,VEGFR1
4.8333,,162.74,,VEGFR1
4.9167,,163.05,,VEGFR1
5,,163.35,,VEGFR1
5.0833,,163.63,,VEGFR1
5.1667,,163.91,,VEGFR1
5.25,,164.17,,VEGFR1
5.3333,,164.43,,VEGFR1
5.4167,,164.67,,VEGFR1
5.5,,164.91,,VEGFR1
5.5833,,165.14,,VEGFR1
5.6667,,165.36,,VEGFR1
5.75,,165.58,,VEGFR1
5.8333,,165.78,,VEGFR1
5.9167,,165.98,,VEGFR1
6,,166.17,,VEGFR1
6.0833,,166.36,,VEGFR1
6.1667,,166.53,,VEGFR1
6.25,,166.7,,VEGFR1
6.3333,,166.87,,VEGFR1
6.4167,,167.03,,VEGFR1
6.5,,167.18,,VEGFR1
6.5833,,167.33,,VEGFR1
6.6667,,167.47,,VEGFR1
6.75,,167.61,,VEGFR1
6.8333,,167.74,,VEGFR1
6.9167,,167.87,,VEGFR1
7,,167.99,,VEGFR1
7.0833,,168.11,,VEGFR1
7.1667,,168.23,,VEGFR1
7.25,,168.34,,VEGFR1
7.3333,,168.44,,VEGFR1
7.4167,,168.55,,VEGFR1
7.5,,168.65,,VEGFR1
7.5833,,168.74,,VEGFR1
7.6667,,168.83,,VEGFR1
7.75,,168.92,,VEGFR1
7.8333,,169.01,,VEGFR1
7.9167,,169.09,,VEGFR1
8,142.8,169.17,21.9,VEGFR1
8.0833,,169.25,,VEGFR1
8.1667,,169.32,,VEGFR1
8.25,,169.39,,VEGFR1
8.3333,,169.46,,VEGFR1
8.4167,,169.53,,VEGFR1
8.5,,169.59,,VEGFR1
8.5833,,169.65,,VEGFR1
8.6667,,169.71,,VEGFR1
8.75,,169.77,,VEGFR1
8.8333,,169.82,,VEGFR1
8.9167,,169.88,,VEGFR1
9,,169.93,,VEGFR1
9.0833,,169.98,,VEGFR1
9.1667,,170.02,,VEGFR1
9.25,,170.07,,VEGFR1
9.3333,,170.11,,VEGFR1
9.4167,,170.16,,VEGFR1
9.5,,170.2,,VEGFR1
9.5833,,170.24,,VEGFR1
9.6667,,170.28,,VEGFR1
9.75,,170.31,,VEGFR1
9.8333,,170.35,,VEGFR1
9.9167,,170.38,,VEGFR1
10,,170.42,,VEGFR1
10.083,,170.45,,VEGFR1
10.167,,170.48,,VEGFR1
10.25,,170.51,,VEGFR1
10.333,,170.54,,VEGFR1
10.417,,170.56,,VEGFR1
10.5,,170.59,,VEGFR1
10.583,,170.62,,VEGFR1
10.667,,170.64,,VEGFR1
10.75,,170.66,,VEGFR1
10.833,,170.69,,VEGFR1
10.917,,170.71,,VEGFR1
11,,170.73,,VEGFR1
11.083,,170.75,,VEGFR1
11.167,,170.77,,VEGFR1
11.25,,170.79,,VEGFR1
11.333,,170.81,,VEGFR1
11.417,,170.83,,VEGFR1
11.5,,170.84,,VEGFR1
11.583,,170.86,,VEGFR1
11.667,,170.88,,VEGFR1
11.75,,170.89,,VEGFR1
11.833,,170.91,,VEGFR1
11.917,,170.92,,VEGFR1
12,171.2,170.93,14.4,VEGFR1
12.083,,170.95,,VEGFR1
12.167,,170.96,,VEGFR1
12.25,,170.97,,VEGFR1
12.333,,170.98,,VEGFR1
12.417,,171,,VEGFR1
12.5,,171.01,,VEGFR1
12.583,,171.02,,VEGFR1
12.667,,171.03,,VEGFR1
12.75,,171.04,,VEGFR1
12.833,,171.05,,VEGFR1
12.917,,171.06,,VEGFR1
13,,171.07,,VEGFR1
13.083,,171.07,,VEGFR1
13.167,,171.08,,VEGFR1
13.25,,171.09,,VEGFR1
13.333,,171.1,,VEGFR1
13.417,,171.11,,VEGFR1
13.5,,171.11,,VEGFR1
13.583,,171.12,,VEGFR1
13.667,,171.13,,VEGFR1
13.75,,171.13,,VEGFR1
13.833,,171.14,,VEGFR1
13.917,,171.14,,VEGFR1
14,,171.15,,VEGFR1
14.083,,171.16,,VEGFR1
14.167,,171.16,,VEGFR1
14.25,,171.17,,VEGFR1
14.333,,171.17,,VEGFR1
14.417,,171.18,,VEGFR1
14.5,,171.18,,VEGFR1
14.583,,171.18,,VEGFR1
14.667,,171.19,,VEGFR1
14.75,,171.19,,VEGFR1
14.833,,171.2,,VEGFR1
14.917,,171.2,,VEGFR1
15,,171.2,,VEGFR1
15.083,,171.21,,VEGFR1
15.167,,171.21,,VEGFR1
15.25,,171.21,,VEGFR1
15.333,,171.22,,VEGFR1
15.417,,171.22,,VEGFR1
15.5,,171.22,,VEGFR1
15.583,,171.23,,VEGFR1
15.667,,171.23,,VEGFR1
15.75,,171.23,,VEGFR1
15.833,,171.23,,VEGFR1
15.917,,171.24,,VEGFR1
16,,171.24,,VEGFR1
16.083,,171.24,,VEGFR1
16.167,,171.24,,VEGFR1
16.25,,171.25,,VEGFR1
16.333,,171.25,,VEGFR1
16.417,,171.25,,VEGFR1
16.5,,171.25,,VEGFR1
16.583,,171.25,,VEGFR1
16.667,,171.26,,VEGFR1
16.75,,171.26,,VEGFR1
16.833,,171.26,,VEGFR1
16.917,,171.26,,VEGFR1
17,,171.26,,VEGFR1
17.083,,171.26,,VEGFR1
17.167,,171.27,,VEGFR1
17.25,,171.27,,VEGFR1
17.333,,171.27,,VEGFR1
17.417,,171.27,,VEGFR1
17.5,,171.27,,VEGFR1
17.583,,171.27,,VEGFR1
17.667,,171.27,,VEGFR1
17.75,,171.27,,VEGFR1
17.833,,171.27,,VEGFR1
17.917,,171.28,,VEGFR1
18,,171.28,,VEGFR1
18.083,,171.28,,VEGFR1
18.167,,171.28,,VEGFR1
18.25,,171.28,,VEGFR1
18.333,,171.28,,VEGFR1
18.417,,171.28,,VEGFR1
18.5,,171.28,,VEGFR1
18.583,,171.28,,VEGFR1
18.667,,171.28,,VEGFR1
18.75,,171.28,,VEGFR1
18.833,,171.29,,VEGFR1
18.917,,171.29,,VEGFR1
19,,171.29,,VEGFR1
19.083,,171.29,,VEGFR1
19.167,,171.29,,VEGFR1
19.25,,171.29,,VEGFR1
19.333,,171.29,,VEGFR1
19.417,,171.29,,VEGFR1
19.5,,171.29,,VEGFR1
19.583,,171.29,,VEGFR1
19.667,,171.29,,VEGFR1
19.75,,171.29,,VEGFR1
19.833,,171.29,,VEGFR1
19.917,,171.29,,VEGFR1
20,,171.29,,VEGFR1
20.083,,171.29,,VEGFR1
20.167,,171.29,,VEGFR1
20.25,,171.29,,VEGFR1
20.333,,171.29,,VEGFR1
20.417,,171.29,,VEGFR1
20.5,,171.29,,VEGFR1
20.583,,171.3,,VEGFR1
20.667,,171.3,,VEGFR1
20.75,,171.3,,VEGFR1
20.833,,171.3,,VEGFR1
20.917,,171.3,,VEGFR1
21,,171.3,,VEGFR1
21.083,,171.3,,VEGFR1
21.167,,171.3,,VEGFR1
21.25,,171.3,,VEGFR1
21.333,,171.3,,VEGFR1
21.417,,171.3,,VEGFR1
21.5,,171.3,,VEGFR1
21.583,,171.3,,VEGFR1
21.667,,171.3,,VEGFR1
21.75,,171.3,,VEGFR1
21.833,,171.3,,VEGFR1
21.917,,171.3,,VEGFR1
22,,171.3,,VEGFR1
22.083,,171.3,,VEGFR1
22.167,,171.3,,VEGFR1
22.25,,171.3,,VEGFR1
22.333,,171.3,,VEGFR1
22.417,,171.3,,VEGFR1
22.5,,171.3,,VEGFR1
22.583,,171.3,,VEGFR1
22.667,,171.3,,VEGFR1
22.75,,171.3,,VEGFR1
22.833,,171.3,,VEGFR1
22.917,,171.3,,VEGFR1
23,,171.3,,VEGFR1
23.083,,171.3,,VEGFR1
23.167,,171.3,,VEGFR1
23.25,,171.3,,VEGFR1
23.333,,171.3,,VEGFR1
23.417,,171.3,,VEGFR1
23.5,,171.3,,VEGFR1
23.583,,171.3,,VEGFR1
23.667,,171.3,,VEGFR1
23.75,,171.3,,VEGFR1
23.833,,171.3,,VEGFR1
23.917,,171.3,,VEGFR1
24,184,171.3,34.8,VEGFR1
