parameter,initvalue,optvalue,case,rec,param
kint(R1),-2.179358556,-2.11580525,case1,R1,kint
kdeg(R1),-4.25641185,-3.411425793,case1,R1,kdeg
krec4(R1),-2.175659351,-3.203925462,case1,R1,krec4
k4to11(R1),-3.609347453,-5.354450016,case1,R1,k4to11
krec11(R1),-2.256137612,-4.668754963,case1,R1,krec11
kint(R2),-1.974899039,-3.485146888,case1,R2,kint
kdeg(R2),-3.231073451,-3.611703374,case1,R2,kdeg
krec4(R2),-3.4292353,-4.507896437,case1,R2,krec4
k4to11(R2),-2.936591575,-4.603068725,case1,R2,k4to11
krec11(R2),-1.339523475,-1.000008686,case1,R2,krec11
kint(N1),-3.109439269,-3.730206956,case1,N1,kint
kdeg(N1),-5.68638584,-5.530929448,case1,N1,kdeg
krec4(N1),-2.450665623,-1.016445876,case1,N1,krec4
k4to11(N1),-2.024963602,-2.395482355,case1,N1,k4to11
krec11(N1),-1.936967035,-4.437885649,case1,N1,krec11
kint(R1),-1,-2.227509597,case2,R1,kint
kdeg(R1),-4.100458542,-3.648261654,case2,R1,kdeg
krec4(R1),-2.826813732,-3.855145693,case2,R1,krec4
k4to11(R1),-2.597326019,-3.532865659,case2,R1,k4to11
krec11(R1),-1,-1,case2,R1,krec11
kint(R2),-2.255769622,-3.642961333,case2,R2,kint
kdeg(R2),-2.930739014,-3.631638724,case2,R2,kdeg
krec4(R2),-3.539147242,-5.996841166,case2,R2,krec4
k4to11(R2),-3.37985353,-5.997963598,case2,R2,k4to11
krec11(R2),-1.947344527,-1.466355021,case2,R2,krec11
kint(N1),-3.08261529,-3.82156986,case2,N1,kint
kdeg(N1),-5.22849336,-5.416495173,case2,N1,kdeg
krec4(N1),-1.94573176,-1.523458191,case2,N1,krec4
k4to11(N1),-1,-1.000065149,case2,N1,k4to11
krec11(N1),-1.624226683,-3.287729209,case2,N1,krec11
kint(R1),-1,-2.171211252,case3,R1,kint
kdeg(R1),-4.515671683,-3.645565002,case3,R1,kdeg
krec4(R1),-1.972691173,-3.728692881,case3,R1,krec4
k4to11(R1),-3.510787067,-3.476656808,case3,R1,k4to11
krec11(R1),-1,-1.00790178,case3,R1,krec11
kint(R2),-2.720835157,-3.640942772,case3,R2,kint
kdeg(R2),-3.165719209,-3.632494991,case3,R2,kdeg
krec4(R2),-2.154145706,-6,case3,R2,krec4
k4to11(R2),-2.692418395,-6,case3,R2,k4to11
krec11(R2),-1.536554968,-1.196406335,case3,R2,krec11
kint(N1),-3.577032819,-3.69899172,case3,N1,kint
kdeg(N1),-5.817100532,-5.583675761,case3,N1,kdeg
krec4(N1),-1.117651948,-1.437267115,case3,N1,krec4
k4to11(N1),-1.138256557,-1.000638883,case3,N1,k4to11
krec11(N1),-1.076528011,-3.28413866,case3,N1,krec11
kint(R1),-1,-2.044321869,case4,R1,kint
kdeg(R1),-3.215083297,-3.642656043,case4,R1,kdeg
krec4(R1),-2.519748655,-3.690859755,case4,R1,krec4
k4to11(R1),-1.828098109,-3.245636372,case4,R1,k4to11
krec11(R1),-2.141811822,-1.010221026,case4,R1,krec11
kint(R2),-2.824865241,-3.642350967,case4,R2,kint
kdeg(R2),-3.766217285,-3.630135042,case4,R2,kdeg
krec4(R2),-3.559862633,-5.997056793,case4,R2,krec4
k4to11(R2),-3.02829749,-5.889713392,case4,R2,k4to11
krec11(R2),-2.153304217,-1.415917661,case4,R2,krec11
kint(N1),-2.670032927,-3.635261445,case4,N1,kint
kdeg(N1),-6,-5.212589121,case4,N1,kdeg
krec4(N1),-1,-1.690646677,case4,N1,krec4
k4to11(N1),-1,-1.000008686,case4,N1,k4to11
krec11(N1),-2.054620055,-3.083919969,case4,N1,krec11
kint(R1),-1.47653969,-2.108189452,case5,R1,kint
kdeg(R1),-4.49152415,-3.643419671,case5,R1,kdeg
krec4(R1),-3.020428864,-3.724136049,case5,R1,krec4
k4to11(R1),-2.309600115,-3.350139632,case5,R1,k4to11
krec11(R1),-2.206384206,-1,case5,R1,krec11
kint(R2),-2.527755647,-3.640828794,case5,R2,kint
kdeg(R2),-3.353419847,-3.628470368,case5,R2,kdeg
krec4(R2),-3.184827517,-5.881768352,case5,R2,krec4
k4to11(R2),-3.746274405,-5.739499302,case5,R2,k4to11
krec11(R2),-2.719080337,-1.922159897,case5,R2,krec11
kint(N1),-3.462722537,-3.65635512,case5,N1,kint
kdeg(N1),-5.920095532,-5.528943106,case5,N1,kdeg
krec4(N1),-2.590557213,-1.645315446,case5,N1,krec4
k4to11(N1),-1.608835448,-1.001178536,case5,N1,k4to11
krec11(N1),-1.064044564,-3.131355562,case5,N1,krec11
kint(R1),-1,-2.082468234,case6,R1,kint
kdeg(R1),-2.870858154,-3.64380199,case6,R1,kdeg
krec4(R1),-2.035240818,-3.604481406,case6,R1,krec4
k4to11(R1),-2.801178022,-3.350139632,case6,R1,k4to11
krec11(R1),-1,-1,case6,R1,krec11
kint(R2),-2.937530834,-3.642980421,case6,R2,kint
kdeg(R2),-4.40644812,-3.630505838,case6,R2,kdeg
krec4(R2),-3.38960603,-5.964530237,case6,R2,krec4
k4to11(R2),-3.717151397,-5.968551138,case6,R2,k4to11
krec11(R2),-1.84630706,-1.003479572,case6,R2,krec11
kint(N1),-3.153118814,-3.507239611,case6,N1,kint
kdeg(N1),-4.587421865,-5.99753155,case6,N1,kdeg
krec4(N1),-2.693510637,-1.375470396,case6,N1,krec4
k4to11(N1),-1.220396295,-1.003772989,case6,N1,k4to11
krec11(N1),-1,-3.085953174,case6,N1,krec11
kint(R1),-1.392309128,-2.081890994,case7,R1,kint
kdeg(R1),-3.14315636,-3.643400564,case7,R1,kdeg
krec4(R1),-3.18220994,-3.626536278,case7,R1,krec4
k4to11(R1),-3.169481902,-3.335442636,case7,R1,k4to11
krec11(R1),-1,-1.000034745,case7,R1,krec11
kint(R2),-2.61200543,-3.642980421,case7,R2,kint
