kR1R1,Whole Cell,Surface,Rab4,Rab11
0.08,0.90622,0.76338,0.92095,0.84306
0.050477,0.88428,0.71817,0.90134,0.82402
0.031849,0.8578,0.66828,0.87718,0.80117
0.020095,0.82609,0.61473,0.84764,0.77363
0.012679,0.78847,0.55885,0.81184,0.74056
0.008,0.74433,0.50212,0.76893,0.70114
0.0050477,0.69317,0.44583,0.71826,0.65475
0.0031849,0.63479,0.39083,0.65951,0.60106
0.0020095,0.56946,0.33753,0.59295,0.5403
0.0012679,0.49821,0.2861,0.51968,0.47348
0.0008,0.42305,0.23686,0.44189,0.40256
0.00050477,0.34703,0.19052,0.36286,0.33054
0.00031849,0.27396,0.1482,0.28668,0.26113
0.00020095,0.20774,0.11117,0.2175,0.19811
0.00012679,0.15141,0.080406,0.15859,0.14445
8.00E-05,0.10645,0.056228,0.11153,0.10158
5.05E-05,0.072604,0.038209,0.07608,0.069293
3.18E-05,0.04835,0.025383,0.050672,0.046151
2.01E-05,0.031637,0.016582,0.033159,0.0302
1.27E-05,0.020446,0.010706,0.021431,0.019519
8.00E-06,0.013103,0.0068565,0.013735,0.012509
