kR2R2,Whole Cell,Surface,Rab4,Rab11
0.2,0.90394,0.90293,0.90498,0.81386
0.12619,0.88064,0.8794,0.88192,0.79312
0.079621,0.85218,0.85067,0.85373,0.76777
0.050238,0.81771,0.81589,0.81958,0.73705
0.031698,0.77638,0.77421,0.77861,0.70021
0.02,0.72749,0.72494,0.73011,0.65659
0.012619,0.67061,0.66768,0.67362,0.60579
0.0079621,0.60585,0.60256,0.60924,0.54789
0.0050238,0.5341,0.53052,0.53779,0.48363
0.0031698,0.45728,0.45352,0.46115,0.41471
0.002,0.37844,0.37468,0.38231,0.34381
0.0012619,0.30153,0.29797,0.30519,0.27445
0.00079621,0.23075,0.22759,0.23401,0.21044
0.00050238,0.16965,0.16701,0.17236,0.155
0.00031698,0.12017,0.11811,0.1223,0.10998
0.0002,0.082463,0.080937,0.084033,0.075571
0.00012619,0.055172,0.054095,0.05628,0.050613
7.96E-05,0.036221,0.035487,0.036977,0.033253
5.02E-05,0.023463,0.022976,0.023965,0.021552
3.17E-05,0.01506,0.014742,0.015388,0.013838
2.00E-05,0.0096078,0.0094027,0.0098189,0.0088301
