NT,RT 1k,RT 2k,RT 5k,RT 10k,RT 20k,RT 50k,RT 100k
1.00,0.069296692,0.065062336,0.054867693,0.04335297,0.030402577,0.015948306,0.008880049
1.33,0.090450725,0.08513697,0.072189255,0.05733057,0.040377974,0.021244121,0.011837767
1.78,0.117293122,0.110749437,0.094561815,0.075599784,0.053550921,0.028287772,0.015778821
2.37,0.150845678,0.142979463,0.123152342,0.099310976,0.070885314,0.037647424,0.021028688
3.16,0.191999039,0.182826282,0.159177256,0.129791087,0.093584575,0.050068643,0.028019388
4.22,0.241305052,0.231003828,0.203734945,0.168460549,0.123105625,0.066523297,0.037323351
5.62,0.298725446,0.287671002,0.257532392,0.216643611,0.161125114,0.088265602,0.049697122
7.50,0.363399314,0.352151645,0.320517546,0.275223827,0.209404137,0.116888788,0.066136835
10.00,0.433529702,0.422752636,0.391504717,0.344131154,0.269463904,0.154364389,0.087946619
13.34,0.506489177,0.496811619,0.467979125,0.421766179,0.341964269,0.203020092,0.116818398
17.78,0.579175847,0.571046691,0.546300742,0.504676442,0.425754684,0.265355318,0.154914001
23.71,0.648532877,0.642135946,0.622377591,0.587927431,0.516915999,0.343479386,0.204920406
31.62,0.712052717,0.707315783,0.692571925,0.666308026,0.608739128,0.43778544,0.26999586
42.17,0.768095742,0.764772764,0.754408881,0.735794756,0.693608526,0.544520674,0.353382759
56.23,0.815955014,0.813729406,0.806800999,0.794375357,0.765981186,0.653396785,0.457097433
74.99,0.855714358,0.85427985,0.84983228,0.841912815,0.823968578,0.749957678,0.578402728
100.00,0.888004869,0.887108498,0.884343094,0.879466185,0.86859815,0.82460947,0.703464835
133.35,0.913756457,0.913209948,0.911532285,0.90860309,0.902197198,0.877427849,0.807881462
177.83,0.934000001,0.933673137,0.932674284,0.930946276,0.927233889,0.913583769,0.878073298
237.14,0.949736142,0.949543527,0.948957213,0.947950902,0.945821994,0.938338727,0.920670347
316.23,0.961863025,0.961750805,0.96141031,0.960829717,0.9596169,0.955508469,0.946596737
421.6965034,0.971146657,0.97108184,0.970885686,0.970552966,0.969864937,0.967601174,0.963006354
562.3413252,0.978217802,0.978180611,0.978068289,0.977878555,0.977489302,0.976237073,0.973819761
