NT,RT 1k,RT 2k,RT 5k,RT 10k,RT 20k,RT 50k,RT 100k
1,0.069296692,0.130124673,0.274338464,0.433529702,0.608051543,0.797415294,0.888004869
1.333521432,0.067828475,0.127687442,0.27067152,0.429918627,0.605584177,0.796542174,0.887707293
1.77827941,0.06595877,0.124557971,0.265880082,0.425128828,0.602277918,0.79536916,0.887308318
2.371373706,0.063611095,0.12058788,0.259664559,0.418790915,0.597841777,0.79378936,0.88677242
3.16227766,0.060715427,0.115629494,0.25168134,0.410435456,0.591880825,0.791654749,0.886050858
4.216965034,0.057222445,0.109559281,0.241565846,0.399482917,0.583858885,0.788757988,0.885076139
5.623413252,0.053121731,0.102311884,0.228982275,0.385252872,0.573050945,0.784804513,0.883753682
7.498942093,0.048460077,0.093920353,0.213708509,0.367016872,0.558489809,0.779368523,0.881948864
10,0.04335297,0.084550527,0.195752358,0.344131154,0.538927807,0.771821947,0.879466185
13.33521432,0.03798133,0.074511231,0.175467418,0.316280015,0.51287405,0.761217958,0.876014401
17.7827941,0.032569451,0.064224631,0.153603742,0.283800419,0.478838907,0.746101305,0.871145445
23.71373706,0.027348405,0.054157297,0.131227227,0.247926942,0.435963339,0.724220281,0.864142188
31.6227766,0.022517084,0.044734578,0.109505236,0.210705099,0.385000429,0.692199559,0.853801877
42.16965034,0.01821442,0.03627124,0.089449269,0.174484434,0.328961004,0.645631005,0.838002583
56.23413252,0.01450996,0.028940765,0.07173588,0.141262134,0.272425714,0.580961025,0.812846954
74.98942093,0.011411134,0.02278401,0.056663478,0.112270878,0.219755952,0.500042318,0.771312434
100,0.008880049,0.01774217,0.044217155,0.087946619,0.17371963,0.412304735,0.703464835
133.3521432,0.006852207,0.013696217,0.034177639,0.06813562,0.135310491,0.328989031,0.60582563
177.827941,0.005252268,0.01050086,0.026224065,0.052350956,0.104284387,0.256872954,0.493776902
237.1373706,0.004005004,0.008008384,0.020008597,0.039974758,0.079769966,0.19784708,0.388243466
316.227766,0.003041678,0.006082646,0.015201232,0.030384103,0.060691502,0.151079154,0.299340171
421.6965034,0.002302952,0.004605596,0.011511664,0.023015438,0.045998244,0.114727199,0.228364795
562.3413252,0.001739545,0.003478957,0.008696394,0.017389413,0.034764982,0.086801114,0.173172363
