Nfree,Kd 1k,Kd 2k,Kd 5k,Kd 10k,Kd 20k,Kd 50k,Kd 100k
0.1,0.454545455,0.476190476,0.490196078,0.495049505,0.497512438,0.499001996,0.4995005
0.133352143,0.441169149,0.468745867,0.487011202,0.493420137,0.496688278,0.498670026,0.499334127
0.177827941,0.424510221,0.459173097,0.48282794,0.491263954,0.495593482,0.498228023,0.499112439
0.237137371,0.404158836,0.446999819,0.47736002,0.488417789,0.494141035,0.49763982,0.498817118
0.316227766,0.379873463,0.43173647,0.470258256,0.484673285,0.49221736,0.496857597,0.498423845
0.421696503,0.351692502,0.41293366,0.461110281,0.479768337,0.489675282,0.495818303,0.497900372
0.562341325,0.3200325,0.390268069,0.449451023,0.473379892,0.486325941,0.494439129,0.497204016
0.749894209,0.285731559,0.363650353,0.434790608,0.465120856,0.481930168,0.492611864,0.496278437
1,0.25,0.333333333,0.416666667,0.454545455,0.476190476,0.490196078,0.495049505
1.333521432,0.214268441,0.299983072,0.394725119,0.441169149,0.468745867,0.487011202,0.493420137
1.77827941,0.1799675,0.264670738,0.368825162,0.424510221,0.459173097,0.48282794,0.491263954
2.371373706,0.148307498,0.228761041,0.339149811,0.404158836,0.446999819,0.47736002,0.488417789
3.16227766,0.120126537,0.193712943,0.306287057,0.379873463,0.43173647,0.470258256,0.484673285
4.216965034,0.095841164,0.160850189,0.271238959,0.351692502,0.41293366,0.461110281,0.479768337
5.623413252,0.075489779,0.131174838,0.235329262,0.3200325,0.390268069,0.449451023,0.473379892
7.498942093,0.058830851,0.105274881,0.200016928,0.285731559,0.363650353,0.434790608,0.465120856
10,0.045454545,0.083333333,0.166666667,0.25,0.333333333,0.416666667,0.454545455
13.33521432,0.034879144,0.065209392,0.136349647,0.214268441,0.299983072,0.394725119,0.441169149
17.7827941,0.026620108,0.050548977,0.109731931,0.1799675,0.264670738,0.368825162,0.424510221
23.71373706,0.020231663,0.038889719,0.08706634,0.148307498,0.228761041,0.339149811,0.404158836
31.6227766,0.015326715,0.029741744,0.06826353,0.120126537,0.193712943,0.306287057,0.379873463
42.16965034,0.011582211,0.02263998,0.053000181,0.095841164,0.160850189,0.271238959,0.351692502
56.23413252,0.008736046,0.01717206,0.040826903,0.075489779,0.131174838,0.235329262,0.3200325
74.98942093,0.006579863,0.012988798,0.031254133,0.058830851,0.105274881,0.200016928,0.285731559
100,0.004950495,0.009803922,0.023809524,0.045454545,0.083333333,0.166666667,0.25
133.3521432,0.003721563,0.007388136,0.018069832,0.034879144,0.065209392,0.136349647,0.214268441
177.827941,0.002795984,0.005560871,0.013674059,0.026620108,0.050548977,0.109731931,0.1799675
237.1373706,0.002099628,0.004181697,0.010324718,0.020231663,0.038889719,0.08706634,0.148307498
316.227766,0.001576155,0.003142403,0.00778264,0.015326715,0.029741744,0.06826353,0.120126537
421.6965034,0.001182882,0.00236018,0.005858965,0.011582211,0.02263998,0.053000181,0.095841164
562.3413252,0.000887561,0.001771977,0.004406518,0.008736046,0.01717206,0.040826903,0.075489779
